raw_name,normalized_name
rutabaga,rutabaga
rutabaga,rutabaga
rutabaga,rutabaga
rutabaga,rutabaga
rutabaga,rutabaga
rutabaga,rutabaga
rutabaga,rutabaga
rutabaga,rutabaga
celeriac,celeriac
celeriac,celeriac
celeriac,celeriac
celeriac,celeriac
celeriac,celeriac
celeriac,celeriac
celeriac,celeriac
celeriac,celeriac
celeriac,celeriac
celeriac,celeriac
celeriac,celeriac
celeriac,celeriac
celeriac,celeriac
celeriac,celeriac
celeriac,celeriac
celeriac,celeriac
celeriac,celeriac
celeriac,celeriac
celeriac,celeriac
broccoli,broccoli
broccoli,broccoli
broccoli,broccoli
broccoli,broccoli
broccoli,broccoli
broccoli,broccoli
broccoli,broccoli
broccoli,broccoli
broccoli,broccoli
broccoli,broccoli
broccoli,broccoli
broccoli,broccoli
broccoli,broccoli
broccoli,broccoli
broccoli,broccoli
broccoli,broccoli
broccoli,broccoli
broccoli,broccoli
broccoli,broccoli
broccoli,broccoli
cauliflower,cauliflower
cauliflower,cauliflower
cauliflower,cauliflower
cauliflower,cauliflower
cauliflower,cauliflower
cauliflower,cauliflower
cauliflower,cauliflower
cauliflower,cauliflower
cauliflower,cauliflower
cauliflower,cauliflower
cauliflower,cauliflower
cauliflower,cauliflower
cauliflower,cauliflower
cauliflower,cauliflower
cauliflower,cauliflower
cauliflower,cauliflower
cauliflower,cauliflower
cauliflower,cauliflower
cauliflower,cauliflower
cabbage,cabbage
cabbage,cabbage
cabbage,cabbage
cabbage,cabbage
cabbage,cabbage
cabbage,cabbage
cabbage,cabbage
cabbage,cabbage
cabbage,cabbage
cabbage,cabbage
cabbage,cabbage
cabbage,cabbage
cabbage,cabbage
cabbage,cabbage
cabbage,cabbage
cabbage,cabbage
cabbage,cabbage
brussels sprouts,brussels_sprout
brussels sprouts,brussels_sprout
brussels sprouts,brussels_sprout
brussels sprouts,brussels_sprout
brussels sprouts,brussels_sprout
brussels sprouts,brussels_sprout
brussels sprouts,brussels_sprout
brussels sprouts,brussels_sprout
brussels sprouts,brussels_sprout
brussels sprouts,brussels_sprout
brussels sprouts,brussels_sprout
