YOLO26s summary (fused): 122 layers, 9,558,447 parameters, 0 gradients, 21.0 GFLOPs
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 100% ━━━━━━━━━━━━ 313/313 8.8it/s 35.5s
           huckleberry        147        149      0.957      0.901      0.957      0.724
             jackfruit        149        151      0.979      0.914      0.972      0.684
                  kale        133        134      0.914      0.717       0.81      0.555
                 kamut        139        139      0.984      0.876      0.937        0.7
           kidney_bean        134        134      0.983      0.879      0.951        0.7
                  kiwi        141        142      0.992       0.89      0.959      0.698
              kohlrabi        133        137      0.908      0.796      0.891      0.608
               kumquat        147        148      0.956      0.926      0.964      0.724
                  lamb        146        146      0.939      0.822      0.924      0.649
               lasagna        159        161      0.993      0.947       0.97      0.753
                  leek        139        140      0.945      0.836      0.895      0.657
                 lemon        139        140      0.951        0.9      0.961      0.736
            lemongrass        149        149      0.944      0.886      0.929      0.666
               lentils        134        136      0.951      0.618       0.78      0.489
               lettuce        127        130      0.974      0.871      0.936       0.73
             lima_bean        132        133      0.893       0.88      0.918      0.704
                  lime        142        144      0.927      0.877      0.929      0.688
              linguine        144        145      0.978      0.924      0.977      0.749
               lobster        132        134      0.982      0.896      0.937      0.693
                lychee        132        134      0.975      0.896      0.931      0.723
              macaroni        144        145      0.935      0.897      0.939      0.697
              mackerel        130        131      0.965      0.843      0.927      0.612
              mandarin        134        134      0.957      0.851      0.933      0.729
                 mango        133        134      0.952      0.894      0.951      0.684
                  milk        140        140      0.953      0.836       0.89       0.74
                millet        128        129      0.904      0.802      0.884      0.561
              mulberry        141        142      0.985      0.907      0.951      0.632
             mung_bean        142        144      0.967      0.792        0.9      0.612
              mushroom        131        132      0.958      0.886      0.941      0.742
         mustard_green        145        148      0.921      0.786      0.875      0.651
                mutton        138        138       0.94       0.92      0.953      0.765
             navy_bean        139        140      0.921      0.746       0.82      0.579
             nectarine        141        141      0.976      0.881      0.961      0.683
                nutmeg        146        148      0.878      0.838      0.922      0.712
                   oat        145        145       0.95      0.862       0.92      0.689
               octopus        157        158      0.961      0.929      0.964      0.714
             olive_oil        157        157      0.952      0.917       0.96      0.726
                olives        142        142      0.968       0.88      0.938      0.773
                 onion        129        131      0.931      0.927      0.957      0.771
                orange        139        140      0.928      0.919      0.972      0.714
               ostrich        132        134      0.944      0.843      0.927      0.667
                oyster        134        135      0.968      0.896      0.952      0.785
                papaya        133        133      0.977       0.95      0.972      0.793
               paprika        118        120      0.982      0.924      0.958      0.801
               parsnip        158        159      0.986      0.906      0.941      0.681
             partridge        130        132      0.934      0.856      0.926       0.65
         passion_fruit        136        136      0.967      0.963      0.987      0.796
                 pasta        132        133      0.896      0.838      0.944      0.712
           pasta_sauce        152        153      0.993      0.912      0.975      0.799
                pawpaw        130        131      0.967      0.906      0.946      0.663
                 peach        140        141       0.96      0.879      0.926      0.738
            peanut_oil        147        149      0.972      0.945       0.98      0.828
                  pear        133        133      0.974      0.857      0.916      0.726
                  peas        134        136      0.968      0.868      0.948      0.744
                 penne        129        131      0.929      0.794      0.895      0.639
                pepper        137        138      0.946      0.906      0.958       0.76
                 pesto        134        135      0.982      0.881      0.938      0.725
              pheasant        154        155      0.935      0.838      0.949      0.713
                pickle        149        149      0.987      0.839      0.927      0.694
             pineapple        130        131      0.942      0.885      0.928      0.663
            pinto_bean        135        137      0.952      0.803      0.903      0.703
                  plum        126        127      0.984      0.942      0.973      0.792
                 pluot        133        133      0.988       0.91      0.962       0.75
               polenta        129        129      0.968      0.945      0.974      0.684
                pomelo        126        127       0.98      0.783      0.904      0.629
                  pork        158        158      0.976      0.905      0.956      0.749
                potato        138        139      0.966      0.928      0.951      0.734
               pumpkin        139        140      0.989      0.957      0.991      0.857
                 quail        140        140      0.895      0.855      0.911      0.633
                quinoa        132        133      0.973      0.887      0.915      0.661
                rabbit        143        143      0.955       0.86      0.948      0.684
             radicchio        149        152      0.997      0.967      0.981      0.759
                radish        151        153      0.975      0.941      0.968      0.741
                  ramp        156        156      0.971       0.84      0.893      0.603
             raspberry        131        132       0.98      0.917      0.959      0.751
          refried_bean        144        144      0.994      0.944       0.98      0.823
               rhubarb        127        129      0.963      0.891      0.941      0.643
                  rice        136        137      0.965      0.905       0.95      0.804
              rigatoni        148        150      0.986      0.913      0.953      0.711
               romaine        145        146      0.985        0.9      0.962      0.729
                rotini        150        150      0.963      0.856      0.943      0.656
              rutabaga        138        138      0.949      0.899      0.954      0.681
                salmon        138        139      0.979      0.827      0.916      0.643
                 salsa        133        136      0.966      0.941      0.982       0.78
                  salt        146        146       0.94      0.858      0.939      0.713
                santol        146        149      0.939      0.923      0.961      0.702
                sapote        139        139      0.985      0.964       0.98      0.777
               sardine        129        131      0.992      0.918       0.97      0.742
               sausage        139        140      0.978      0.951      0.975      0.869
         savoy_cabbage        136        137      0.896      0.885      0.928       0.65
               scallop        152        153      0.943      0.876      0.936      0.688
              semolina        144        145      0.985      0.848      0.944      0.743
            sesame_oil        135        135      0.952      0.911      0.945      0.689
               shallot        139        139      0.942      0.856      0.941      0.726
                shrimp        141        143      0.971      0.839       0.91      0.657
               sorghum        148        152      0.964      0.874      0.952       0.75
           sour_cherry        154        156      0.947      0.805      0.908       0.66
               soursop        142        144       0.95      0.889      0.923      0.671
               soybean        139        140      0.987      0.707      0.846       0.59
             spaghetti        138        140      0.955      0.914      0.963      0.743
                 spelt        143        145       0.96      0.869      0.927      0.699
               spinach        137        138      0.962      0.908      0.954      0.746
                 squab        138        142      0.935      0.887      0.947      0.651
              squirrel        138        139      0.953      0.835      0.881      0.592
            strawberry        136        137      0.977      0.937      0.979      0.757
                 sugar        135        136      0.984      0.889      0.945      0.748
      sun_dried_tomato        132        132      0.959      0.902      0.935      0.723
         sunflower_oil        137        139      0.974      0.811       0.91      0.618
          sweet_potato        133        135          1      0.946       0.98      0.768
           swiss_chard        130        131      0.881      0.863      0.881      0.599
             tangerine        150        152      0.918      0.879      0.947      0.682
                  teff        142        143      0.983      0.881      0.934      0.743
                tomato        135        136       0.97      0.912      0.969      0.789
                 trout        142        144      0.951      0.917       0.96      0.719
                  tuna        130        131      0.975      0.832      0.919      0.677
                turkey        139        140      0.968      0.929      0.973      0.766
              turmeric        148        148      0.975      0.912      0.971       0.81
                turnip        128        131       0.95      0.901      0.943      0.667
         vegetable_oil        128        130      0.992      0.917       0.95       0.79
               venison        142        143      0.955      0.894      0.964      0.764
            watercress        133        134      0.987      0.888      0.943      0.678
            wheat_bran        145        146      0.957      0.924      0.971      0.718
           white_peach        141        146      0.954      0.925      0.961      0.724
             wild_boar        147        148      0.956      0.884      0.962      0.717
                  yuzu        147        148      0.979      0.943       0.98      0.766
Speed: 0.2ms preprocess, 4.9ms inference, 0.0ms loss, 0.1ms postprocess per image
