==========================================
   DATASET CLASS DISTRIBUTION REPORT
==========================================

--- SPLIT: TRAIN ---
Tổng số ảnh: 25000
Tổng số vật thể (instances): 165876
ID    | Class Name                | Count   
Top 3 ít nhất: [('white_peach', 658), ('mutton', 657), ('dragon_fruit', 657)]

=============================================

--- SPLIT: VAL ---
Tổng số ảnh: 5000
Tổng số vật thể (instances): 32548
ID    | Class Name                | Count   
---------------------------------------------
0     | adzuki_bean               | 135     
1     | allspice                  | 140     
2     | amaranth                  | 134     
3     | anchovy                   | 130     
4     | apple                     | 150     
5     | apricot                   | 137     
6     | artichoke                 | 141     
7     | artichoke_heart           | 123     
8     | arugula                   | 137     
9     | asparagus                 | 135     
10    | avocado                   | 145     
11    | avocado_oil               | 134     
12    | bacon                     | 136     
13    | baked_bean                | 134     
14    | bamboo_shoot              | 131     
15    | banana                    | 142     
16    | barley                    | 139     
17    | beef                      | 129     
18    | beet                      | 138     
19    | bergamot                  | 135     
20    | bison                     | 149     
21    | black_bean                | 134     
22    | black_cherry              | 139     
23    | black_sapote              | 139     
24    | blackberry                | 128     
25    | blueberry                 | 139     
26    | bok_choy                  | 128     
27    | boysenberry               | 133     
28    | bread                     | 129     
29    | breadfruit                | 135     
30    | broccoli                  | 144     
31    | broccoli_stem             | 137     
32    | brussels_sprout           | 141     
33    | buckwheat                 | 141     
34    | buffalo                   | 125     
35    | bulgur                    | 127     
36    | butter                    | 135     
37    | cabbage                   | 146     
38    | cannellini_bean           | 127     
39    | canola_oil                | 126     
40    | caper                     | 142     
41    | cardamom                  | 139     
42    | caribou                   | 146     
43    | carrot                    | 142     
44    | cauliflower               | 141     
45    | celeriac                  | 137     
46    | celery                    | 141     
47    | chard_stalk               | 146     
48    | cheese                    | 146     
