epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3707.36,1.10559,0.95196,1.36896,0.61873,0.53612,0.58182,0.3299,1.71239,1.53193,2.10608,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3806.07,1.08197,0.92169,1.34609,0.62521,0.53216,0.58268,0.33058,1.72723,1.52663,2.12564,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3903.34,1.0649,0.89843,1.32763,0.61992,0.54667,0.5885,0.32758,1.71891,1.53685,2.12843,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,4000.75,1.04963,0.88742,1.32569,0.62686,0.52955,0.57956,0.33736,1.66935,1.52671,2.09353,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,4097.81,1.02921,0.86402,1.30488,0.67742,0.48892,0.58393,0.34228,1.71451,1.56405,2.1376,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,4195.15,1.02286,0.85516,1.30516,0.68258,0.52401,0.59456,0.33926,1.68268,1.5394,2.14343,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,4292.46,1.00636,0.83941,1.2917,0.6641,0.47614,0.58364,0.33831,1.66916,1.52828,2.11313,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,4389.64,0.99452,0.82401,1.28475,0.61797,0.51693,0.57039,0.33315,1.66611,1.53156,2.12915,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,4486.78,0.98093,0.80368,1.27275,0.62322,0.53114,0.5808,0.33706,1.66843,1.51231,2.10703,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,4584.06,0.97109,0.79835,1.26952,0.61431,0.5435,0.57562,0.34233,1.63726,1.4648,2.09858,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,4681.39,0.95913,0.78876,1.25926,0.67096,0.5176,0.57938,0.34154,1.62854,1.52973,2.0951,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,4778.4,0.94727,0.76267,1.25164,0.64745,0.55915,0.59186,0.33797,1.62575,1.46911,2.1048,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,4875.74,0.93168,0.75044,1.23569,0.67803,0.51283,0.58352,0.34687,1.62328,1.47726,2.09262,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,4982.02,0.91598,0.74448,1.23296,0.6991,0.52124,0.59156,0.34994,1.61601,1.5114,2.0876,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,5113.19,0.9086,0.7328,1.22325,0.59264,0.55578,0.57141,0.34018,1.61168,1.49663,2.09147,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,5242.6,0.89905,0.724,1.21507,0.66224,0.54831,0.59498,0.35155,1.58823,1.48917,2.09516,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,5371.01,0.88997,0.70453,1.20571,0.631,0.5516,0.5997,0.35276,1.61084,1.4934,2.11344,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,5500.52,0.8816,0.70954,1.20709,0.68677,0.52861,0.59074,0.35232,1.5883,1.49899,2.0858,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,5629.55,0.86761,0.68734,1.19357,0.65341,0.53183,0.60133,0.35357,1.59542,1.475,2.09147,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,5747.24,0.85437,0.6837,1.18619,0.58066,0.58304,0.59665,0.35412,1.57293,1.46135,2.08166,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,5857.79,0.84765,0.66858,1.18394,0.58627,0.56383,0.59426,0.35741,1.56576,1.50502,2.08398,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,5968.5,0.84526,0.66509,1.18085,0.65273,0.5452,0.59333,0.3617,1.57477,1.4793,2.09959,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,6083.31,0.83177,0.65579,1.17295,0.6591,0.55729,0.59355,0.36338,1.58414,1.47451,2.13219,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,6198.75,0.81276,0.62882,1.15858,0.64027,0.5447,0.59483,0.36699,1.57688,1.45858,2.12657,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,6318.12,0.80753,0.62126,1.15446,0.72174,0.50676,0.59323,0.36304,1.55456,1.44765,2.09966,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,6425.11,0.79693,0.62121,1.149,0.64755,0.57339,0.61388,0.3776,1.53459,1.45347,2.08637,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,6524.99,0.78729,0.61548,1.14332,0.63037,0.57079,0.60312,0.37517,1.5382,1.48003,2.10025,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,6630.78,0.79143,0.61629,1.15273,0.67734,0.51846,0.6036,0.3761,1.55603,1.48949,2.13157,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,6740.02,0.77901,0.60378,1.13843,0.61758,0.57302,0.60761,0.37333,1.53786,1.46119,2.12189,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,6853.25,0.76575,0.58555,1.12858,0.647,0.55302,0.61047,0.37566,1.52735,1.46303,2.09727,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,6968.01,0.75615,0.58431,1.124,0.66324,0.56814,0.61307,0.37817,1.52746,1.47272,2.10582,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,7071.9,0.75025,0.57779,1.12328,0.73457,0.51439,0.60628,0.37875,1.52711,1.46204,2.11085,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,7173.31,0.74206,0.56616,1.11555,0.63895,0.57407,0.6074,0.3814,1.52091,1.44771,2.1016,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,7276.81,0.73748,0.56754,1.11313,0.65166,0.56984,0.61063,0.37859,1.50972,1.45149,2.11045,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,7380.55,0.72543,0.55752,1.10525,0.63763,0.56698,0.61203,0.37512,1.52531,1.47089,2.11912,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,7484.1,0.71923,0.54665,1.10176,0.63979,0.56449,0.60629,0.37586,1.51846,1.48451,2.10664,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,7585.75,0.7103,0.55125,1.09454,0.65245,0.55365,0.59867,0.36885,1.5197,1.49991,2.13377,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,7691.39,0.70204,0.5337,1.0906,0.66049,0.54952,0.59864,0.37589,1.5036,1.48426,2.12904,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,7792.26,0.70046,0.53193,1.09348,0.68376,0.53712,0.59076,0.37026,1.50016,1.50036,2.12505,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,7893.3,0.68626,0.52468,1.08158,0.6356,0.55515,0.597,0.3766,1.5046,1.50913,2.13327,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,7994.7,0.68254,0.51767,1.08296,0.67734,0.54667,0.59686,0.37633,1.49473,1.49395,2.13718,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,8098.58,0.6714,0.51048,1.07356,0.63429,0.56038,0.59269,0.37782,1.4814,1.49803,2.11538,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,8199.1,0.67014,0.50806,1.0761,0.70021,0.52685,0.59958,0.37923,1.48968,1.51457,2.12984,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,8301.53,0.66283,0.50514,1.07304,0.70978,0.5096,0.59358,0.37332,1.48902,1.52102,2.14148,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,8414.32,0.65282,0.49543,1.06514,0.70925,0.51665,0.59635,0.37898,1.48361,1.52048,2.14156,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,8537.24,0.64924,0.4899,1.06377,0.68861,0.53245,0.59829,0.38633,1.47927,1.52779,2.1378,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,8666.93,0.64078,0.47782,1.05762,0.71554,0.51239,0.59925,0.38402,1.48155,1.51941,2.15328,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,8796.84,0.63382,0.47685,1.05292,0.68046,0.51974,0.60307,0.38463,1.47965,1.51804,2.15001,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,8925.85,0.63026,0.47857,1.05347,0.67971,0.53441,0.60284,0.38654,1.47756,1.53911,2.1487,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,9055.43,0.62399,0.46523,1.04859,0.69128,0.53881,0.60273,0.38812,1.4701,1.52847,2.14207,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,9186.7,0.613,0.45858,1.04797,0.67768,0.53713,0.60383,0.38881,1.46849,1.52217,2.14921,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,9316.6,0.611,0.46755,1.04587,0.70083,0.51626,0.60694,0.38771,1.47334,1.53001,2.16313,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,9446.37,0.59537,0.44728,1.03588,0.69542,0.53228,0.61143,0.39216,1.47309,1.52571,2.16551,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,9575.74,0.59583,0.44499,1.03438,0.69796,0.52349,0.59852,0.38396,1.46882,1.52007,2.15898,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,9705.66,0.59667,0.44331,1.03591,0.69677,0.51614,0.60122,0.38717,1.46549,1.51908,2.16096,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,9835.97,0.59077,0.44684,1.03454,0.70531,0.51728,0.59843,0.38355,1.46107,1.52685,2.16227,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,9966.26,0.57861,0.43236,1.02876,0.68022,0.52867,0.6012,0.38548,1.45653,1.52806,2.16339,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,10096.4,0.5788,0.43195,1.02565,0.6952,0.51897,0.60211,0.38384,1.45711,1.53508,2.17401,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,10225.7,0.5661,0.4277,1.01827,0.62974,0.54568,0.60139,0.38495,1.44942,1.54185,2.16623,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,10380.4,0.47505,0.3069,0.98448,0.67805,0.5416,0.6035,0.38491,1.45053,1.52344,2.17099,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,10510.8,0.44233,0.28311,0.95993,0.68686,0.53846,0.60233,0.38504,1.44928,1.52615,2.16938,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,10641.5,0.4315,0.26446,0.95457,0.69183,0.54082,0.61371,0.39482,1.44505,1.52273,2.16715,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,10771.4,0.42464,0.25984,0.95569,0.67526,0.5362,0.60493,0.39213,1.44405,1.51667,2.17251,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,10899.3,0.41223,0.26562,0.94583,0.67604,0.53533,0.6042,0.3926,1.44252,1.52222,2.17772,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,11028.6,0.40426,0.25134,0.93777,0.66197,0.53846,0.59228,0.38637,1.4415,1.53086,2.18123,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,11157.8,0.39697,0.24718,0.93189,0.6769,0.53611,0.59989,0.39132,1.43977,1.53675,2.18372,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,11284.7,0.39591,0.24746,0.93275,0.66555,0.53846,0.59224,0.38573,1.43842,1.53748,2.18798,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,11413.4,0.38352,0.23798,0.92734,0.71483,0.51773,0.59269,0.38507,1.43935,1.54424,2.19248,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,11542.2,0.38113,0.24676,0.92839,0.6652,0.53519,0.5932,0.38718,1.43789,1.54597,2.19444,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
