epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3538.8,1.19974,1.86692,1.53995,0.74448,0.57967,0.6592,0.43473,1.29655,1.49365,1.77518,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3642.84,1.18493,1.85013,1.53158,0.7417,0.58814,0.66795,0.43887,1.30267,1.47701,1.77711,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3746.7,1.17248,1.8196,1.52217,0.74243,0.57782,0.66751,0.4402,1.29299,1.48966,1.76407,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3849.94,1.16178,1.79974,1.50922,0.77093,0.60388,0.68815,0.46295,1.25404,1.40227,1.73088,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3953.8,1.15115,1.7621,1.50022,0.75873,0.60698,0.68708,0.46515,1.23961,1.4048,1.72458,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,4057.56,1.14245,1.74624,1.49438,0.74641,0.60767,0.68859,0.46502,1.22823,1.39947,1.71161,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,4161.21,1.13324,1.73545,1.4877,0.78074,0.60293,0.69535,0.46838,1.23704,1.37871,1.7261,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,4264.9,1.11919,1.71304,1.47893,0.77559,0.62827,0.70935,0.48319,1.21523,1.33848,1.70106,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,4368.94,1.10833,1.68571,1.46896,0.76987,0.64111,0.71475,0.49143,1.19459,1.31859,1.68438,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,4472.75,1.10144,1.67592,1.4626,0.75581,0.63112,0.70959,0.48455,1.20631,1.32425,1.69402,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,4575.99,1.089,1.6469,1.45276,0.80266,0.6222,0.71416,0.49619,1.18056,1.32294,1.67439,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,4679.68,1.08583,1.64502,1.45001,0.7867,0.64603,0.72192,0.50174,1.16663,1.28729,1.65839,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,4783.71,1.07309,1.61579,1.44129,0.78706,0.66444,0.73617,0.51072,1.14319,1.254,1.63646,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,4887.55,1.06073,1.60322,1.43477,0.81492,0.65189,0.73728,0.51664,1.14707,1.23023,1.64205,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,4991.08,1.05065,1.58039,1.42511,0.79851,0.6273,0.71983,0.49816,1.17567,1.2769,1.67308,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,5095.15,1.04628,1.56191,1.42108,0.80227,0.66371,0.74188,0.52445,1.12848,1.22418,1.63247,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,5199.15,1.03281,1.54881,1.41206,0.82005,0.65542,0.73986,0.51949,1.1364,1.21518,1.64155,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,5302.15,1.0257,1.53703,1.4053,0.8108,0.66305,0.74225,0.52315,1.13087,1.21368,1.63801,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,5405.68,1.01803,1.50794,1.39947,0.82542,0.6625,0.75005,0.53281,1.1096,1.18274,1.60778,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,5509.44,1.00937,1.50197,1.39332,0.81043,0.67326,0.74707,0.52759,1.1273,1.20473,1.63215,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,5613.08,1.00491,1.48098,1.38708,0.82459,0.67061,0.74817,0.53073,1.11135,1.1789,1.61274,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,5716.82,0.99686,1.47353,1.38378,0.82464,0.67796,0.7586,0.53722,1.10014,1.15441,1.60494,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,5820.54,0.98359,1.44365,1.37023,0.82992,0.66928,0.75456,0.53676,1.09898,1.15804,1.60641,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,5924.11,0.97954,1.43991,1.37146,0.84333,0.67269,0.76189,0.54103,1.09668,1.13699,1.60846,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
