epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3511.27,1.10475,0.97609,1.38021,0.63695,0.51273,0.55983,0.31337,1.77168,1.69894,2.1861,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3627.86,1.08219,0.94558,1.35683,0.65707,0.48621,0.54592,0.2978,1.74521,1.70512,2.17072,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3744.51,1.06449,0.92509,1.33971,0.64508,0.48626,0.53141,0.3033,1.73631,1.66452,2.16011,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3861.1,1.04741,0.91302,1.33389,0.66111,0.45017,0.53139,0.3011,1.72583,1.67928,2.1617,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3977.83,1.03265,0.88827,1.31704,0.63924,0.48985,0.54086,0.30918,1.75306,1.72566,2.19036,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,4094.39,1.02619,0.88775,1.3186,0.6176,0.50371,0.54378,0.30712,1.7238,1.73245,2.15922,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,4210.62,1.01462,0.87658,1.30726,0.61636,0.49557,0.53856,0.31261,1.70717,1.67138,2.12778,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,4311.21,1.0029,0.85926,1.3016,0.61564,0.51846,0.53549,0.30893,1.70355,1.67698,2.16781,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,4409.52,0.98689,0.83837,1.29146,0.61516,0.49078,0.54202,0.31,1.69936,1.68156,2.15962,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,4506.23,0.98115,0.83707,1.29217,0.65765,0.50082,0.55022,0.31636,1.67044,1.65005,2.13823,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,4603.2,0.97139,0.81854,1.27943,0.64676,0.4836,0.54065,0.31107,1.68871,1.66513,2.15189,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,4703.37,0.96434,0.80688,1.27353,0.68267,0.49167,0.5429,0.31207,1.67892,1.63035,2.16456,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,4806.77,0.94141,0.78426,1.25604,0.67097,0.49336,0.54755,0.32166,1.67721,1.6694,2.14823,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,4906.73,0.93464,0.78308,1.25609,0.66721,0.47234,0.5523,0.32158,1.6762,1.65792,2.16107,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,5006.78,0.92543,0.77231,1.24674,0.65795,0.47736,0.54923,0.32137,1.66465,1.63395,2.15222,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,5103.58,0.91282,0.75976,1.23414,0.72117,0.48912,0.53428,0.31486,1.65195,1.64182,2.15188,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
